Name	Species	Reference	Accession	Source|Version|Database|Link
CgbHLH154.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg7g004740.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH154.3	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg5g035790.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH155	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg5g034200.3	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH160	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg3g004340.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH162.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg2g042210.3	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH162.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg2g005390.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH162.3	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg2g005350.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH162.4	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg5g004810.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH162.5	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg2g005320.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH162.6	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg2g005400.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH162.7	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg2g015830.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH162.8	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg2g005380.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH162.9	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg2g005340.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH21.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g001500.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH21.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg7g019250.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH25.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g002160.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH25.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg1g007240.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH25.3	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g002170.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH25.4	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg1g007260.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH29.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g019060.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH29.10	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g019230.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH29.11	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g018890.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH29.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g019160.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH29.3	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g018990.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH29.4	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g019240.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH29.5	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g019040.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH29.6	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g019200.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH29.7	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g019020.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH29.8	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g019140.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH29.9	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g018940.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH33.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg7g011080.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH33.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg2g009820.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH36.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg9g025850.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH36.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg5g009400.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH36.3	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg9g025870.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH36.4	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg3g014280.2	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH69.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg3g010300.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH69.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg4g024560.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH73.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg1g005520.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH73.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg5g039380.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH73.3	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg1g019630.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH75.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg2g036150.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH75.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg6g019500.2	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH85.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g003130.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH85.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg3g012730.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH87.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg1g009170.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH87.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg6g009450.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH93.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg1g007400.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH93.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg3g013530.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH95.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg8g004350.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH95.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg3g021160.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH95.3	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg2g044520.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH96.1	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg3g014510.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CgbHLH96.2	Citrus grandis	https://doi.org/10.1186%2Fs12864-020-6644-7	Cg2g030740.1	HWB.v1.0.protein.fa|v1.0|Phytozome|https://phytozome-next.jgi.doe.gov/
CmbHLH001	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C013453T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH002	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C015748T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH003	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C018451T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH004	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C018496T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH005	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C018516T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH006	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C018555T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH007	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C018728T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH008	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C018792T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH009	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C023532T4	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH010	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C024155T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH011	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C024411T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH012	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C010237T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH013	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C015207T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH014	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C015379T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH015	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C015488T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH016	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C017140T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH017	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C017164T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH018	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C017166T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH019	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C017202T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH020	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C017257T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH021	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C017314T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH022	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C017424T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH023	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C024696T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH024	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C026173T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH025	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C008307T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH026	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C010783T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH027	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C010811T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH028	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C010843T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH029	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C010848T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH030	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C011052T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH031	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C011094T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH032	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C011110T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH033	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C011399T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH034	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C026503T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH035	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C003412T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH036	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C003421T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH037	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C003492T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH038	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C003797T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH039	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C009231T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH040	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C009651T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH041	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C009653T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH042	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C012975T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH043	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C013023T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH044	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C018123T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH045	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C018125T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH046	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C024041T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH047	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C026599T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH048	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C003968T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH049	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C004148T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH050	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C004287T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH051	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C004429T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH052	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C004627T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH053	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C008668T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH054	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C014406T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH055	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C020370T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH056	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C020417T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH057	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C026778T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH058	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C005928T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH059	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C006016T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH060	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C006315T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH061	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C006435T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH062	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C006563T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH063	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C006612T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH064	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C006789T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH065	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C013772T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH066	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C013782T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH067	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C013851T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH068	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C014812T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH069	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C020189T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH070	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C026933T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH071	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C016763T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH072	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C016810T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH073	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C016841T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH074	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C017669T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH075	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C017761T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH076	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C017996T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH077	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C018898T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH078	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C026410T3	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH079	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C007151T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH080	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C007341T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH081	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C007678T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH082	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C007679T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH083	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C007680T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH084	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C007694T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH085	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C007720T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH086	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C007905T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH087	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C008047T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH088	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C019065T2	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH089	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C026008T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH090	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C005178T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH091	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C005610T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
CmbHLH092	Curcumis melo	https://doi.org/10.3390/plants10122721	MELO3C021653T1	CM3.5.1_protein.fa|v3.5.1|Cucurbit Genomics Database|http://cucurbitgenomics.org/
