AtbHLH061	AT5G10570.1		Encodes a myo-inositol hexakisphosphate kinase	IIIb	Encodes a myo-inositol hexakisphosphate kinase.
AtbHLH042	AT4G09820.1	TT8	Acts in a concerted action with TT1, PAP1 and TTG1 on the regulation of flavonoid pathways, namely proanthocyanidin and anthocyanin biosynthesis; affects dihydroflavonol 4-reductase gene expression; ternary complex composed of TT2, TT8 and TTG1 is necessary for correct expression of BAN in seed endothelium; important for marginal trichome development; interacts with JAZ  proteins to regulate anthocyanin accumulation; acts maternally to affect seed FA biosynthesis and inhibits seed FA accumulation by down-regulating a group of genes either critical to embryonic development or important in the FA biosynthesis pathway; represses the activities of transcriptional factors important for seed development	IIIf	TT8 is a regulation factor that acts in a concerted action with TT1, PAP1 and TTG1 on the regulation of flavonoid pathways, namely proanthocyanidin and anthocyanin biosynthesis.  Affects dihydroflavonol 4-reductase gene expression. It is thought that a ternary complex composed of TT2, TT8 and TTG1 is necessary for correct expression of BAN in seed endothelium. Also important for important for marginal trichome development. It binds the promoter of both AT3G26790 and AT1G28300.TT8 interacts with JAZ  proteins to regulate anthocyanin accumulation. TT8 acts maternally to affect seed FA biosynthesis and inhibits seed FA accumulation by down-regulating a group of genes either critical to embryonic development or important in the FA biosynthesis pathway. TT8 represses the activities of LEAFY COTYLEDON1, LEAFY COTYLEDON2, and FUSCA3, the critical transcriptional factors important for seed development.
AtbHLH016	AT4G00050.1	PIF8/UNE10	Inhibits phytochrome A-mediated far-red light responses	VII(a+b)	Encodes a phytochrome interacting factor that    inhibits phytochrome A-mediated far-red light responses and binds to promoter regions of AT2G46970 and AT3G62090.
AtbHLH059	AT4G02590.1	UNE12/PFB1	Shows ecotype specific effects on temperature dependent salicylic acid accumulation and immunity; governs the competence of pericycle cells to initiate lateral root primordium formation	XI	Basic helix loop helix class transcriptional regulator. Shows ecotype specific effects on temperature dependent salicylic acid accumulation and immunity. Governs the competence of pericycle cells to initiate lateral root primordium formation.
AtbHLH151	AT2G47270.1	UPB1	Regulates the expression of a set of peroxidases that modulate the balance of ROS between the zones of cell proliferation and the zone of cell elongation where differentiation begins; disruption of activity alters this ROS balance, leading to a delay in the onset of differentiation; regulates growth by  mediating cell cycle progression	Orphans	Encodes UPBEAT1 (UPB1), a transcription factor with a bHLH domain. Regulates the expression of a set of peroxidases that modulate the balance of reactive oxygen species (ROS) between the zones of cell proliferation and the zone of cell elongation where differentiation begins. Disruption of UPB1 activity alters this ROS balance, leading to a delay in the onset of differentiation. Regulates growth by  mediating cell cycle progression.
AtbHLH032	AT3G25710.1	TMO5/ATAIG1	Is expressed in the hypophysis-adjacent embryo cells, and is  required and partially sufficient for MP-dependent root initiation.; involved in response to phosphate starvation; negative regulator of root hair development, anthocyanin formation  and Pi content; expression is responsive to both phosphate and phosphite in shoots	Vb	Encodes a basic helix-loop-helix transcription factor that  is expressed in the hypophysis-adjacent embryo cells, and is  required and partially sufficient for MP-dependent root initiation. Involved in response to phosphate starvation. Negative regulator of root hair development, anthocyanin formation  and Pi content. Its expression is responsive to both phosphate (Pi) and phosphite (Phi) in shoots.
AtbHLH093	AT5G65640.1	NFL	Involved in GA mediated control of flowering time.; mutants are non-flowering in short days and phenotype can be reversed with GA application; likely acts through regulation of GA metabolism; expression shows developmental stage and tissue specificity; in short days it is expressed mainly in root tips and SAM, with weak expression in cotyledons throughout development; in LD GUS activity was observed in the hypocotyl and in root tips and SAM throughout the developmental stages	IIIb	bHLH093/NFL encodes a bHLH transcription factor involved in GA mediated control of flowering time. Mutants are non-flowering in short days and phenotype can be reversed with GA application. Based on the expression of GA biosynthetic genes in the mutant, it likely acts through regulation of GA metabolism. Its expression shows developmental stage and tissue specificity. In short days it is expressed mainly in root tips and SAM, with weak expression in cotyledons throughout development. In LD GUS activity was observed in the hypocotyl and in root tips and SAM throughout the developmental stages.
AtbHLH031	AT1G59640.2	BPEUB/BPEP/ZCW32/BPE	Involved in the control of petal size; the BPEub (AT1G59640.1)transcript is expressed ubiquitously, whereas the BPEp (AT1G59640.2) transcript is preferentially expressed in petals; plants that lack the petal-expressed variant BPEp have larger petals as a result of increased cell size	XII	A basic helix-loop-helix encoding gene (BIGPETAL, BPE) involved in the control of petal size. BPE is expressed via two mRNAs derived from an alternative splicing event. The BPEub (AT1G59640.1)transcript is expressed ubiquitously, whereas the BPEp (AT1G59640.2) transcript is preferentially expressed in petals. Plants that lack the petal-expressed variant BPEp have larger petals as a result of increased cell size.  BPEp is positively regulated downstream of APETALA3, PISTILLATA, APETALA1 and PISTILLATA3 and is negatively regulated downstream of AGAMOUS.
AtbHLH002	AT1G63650.1	EGL3/ATMYC-2/EGL1	Mutant has reduced trichomes, anthocyanin, and seed coat mucilage and abnormally patterned stomates; mutants are defective in jasmonate-induced anthocyanin accumulation; functionally redundant with GL3 and TT8; interacts with TTG1, the myb proteins GL1, PAP1 and 2, CPC and TRY, and it will form heterodimers with GL3	IIIf	Mutant has reduced trichomes, anthocyanin, and seed coat mucilage and abnormally patterned stomates. Mutants are defective in jasmonate-induced anthocyanin accumulation. Encodes a bHLH Transcription Factor 1. The protein is functionally redundant with GL3 and TT8 and interacts with TTG1, the myb proteins GL1, PAP1 and 2, CPC and TRY, and it will form heterodimers with GL3. Expression in N (non-hair cell forming) cell layers is negatively regulated by WER. Expression in H cells (hair cell forming) is promoted by CPC/TRY.
AtbHLH116	AT3G26744.1	ICE1/SCREAM	Mutants are defective in cold-regulated gene expression and ABA signaling druing seed germination; cold stress triggers protein degradation of nuclear GFPICE1  protein, and the RING finger protein HOS1 is required; sumoylation controls CBF3/DREB1A expression and freezing tolerance; together with ZOU determines primary seed dormancy depth independently of their joint role in endosperm development	IIIb	Encodes a MYC-like bHLH transcriptional activator that binds specifically to the MYC recognition sequences in the CBF3 promoter. It also binds to and inhibits the expression of ABI3. Mutants are defective in cold-regulated gene expression and ABA signaling druing seed germination.. Cold stress triggers protein degradation of nuclear GFPICE1  protein, and the RING finger protein HOS1 is required.  Sumoylation of ICE1 controls CBF3/DREB1A expression and freezing tolerance. Together with ZOU, ICE1 determines primary seed dormancy depth independently of their joint role in endosperm development.ICE1 interacts with ABI5. Also members of the DELLA family, which repress ICE1 function.
AtbHLH008	AT1G09530.1	PIF3/PAP3/POC1	Interacting with photoreceptors phyA and phyB; Acts as a negative regulator of phyB signalling; degrades rapidly after irradiation of dark grown seedlings in a process controlled by phytochromes; does not play a  significant role in controlling light input and function of the circadian  clockwork; binds to anthocyanin biosynthetic genes in a light- and HY5-independent fashion; function as a transcriptional activator can be functionally and mechanistically separated from its role in repression of PhyB mediated processes	VII(a+b)	Transcription factor interacting with photoreceptors phyA and phyB. Forms a ternary complex in vitro with G-box element of the promoters of LHY, CCA1. Acts as a negative regulator of phyB signalling. It degrades rapidly after irradiation of dark grown seedlings in a process controlled by phytochromes. Does not play a  significant role in controlling light input and function of the circadian  clockwork. Binds to G- and E-boxes, but not to other ACEs. Binds to anthocyanin biosynthetic genes in a light- and HY5-independent fashion. PIF3 function as a transcriptional activator can be functionally and mechanistically separated from its role in repression of PhyB mediated processes.
AtbHLH095	AT1G49770.1	RGE1/ZOU	Loss of function causes shriveled seeds that contain small embryos. The cuticle in the embryos does not develop normally, possible due to the adeherence of the endosperm to the developing embryo; mutant seedlings are extremely sensitive to desiccation due to the abnormal cuticle; together with ICE1 determines primary seed dormancy depth independently of their joint role in endosperm development	Ib(1)	Encodes a member of the basic helix loop helix family of transcription factors. Loss of RGE1 function causes shriveled seeds that contain small embryos. The cuticle in the embryos does not develop normally, possible due to the adeherence of the endosperm to the developing embryo. RGE1 is expressed in the endosperm surrounding region which directly surrounds the developing embryo, however it exerts its effect non autonomously- in the developing embryo. Mutant seedlings are extremely sensitive to desiccation due to the abnormal cuticle. Together with ICE1, ZOU determines primary seed dormancy depth independently of their joint role in endosperm development.
AtbHLH163	AT1G26945.1	KDR/PRE6	Involved in blue/far-red light signaling. Physically interacts with HFR1 and negatively regulates its activity		Encodes a basic helix-loop-helix (bHLH) protein involved in blue/far-red light signaling. Physically interacts with HFR1 and negatively regulates its activity.
AtbHLH165	AT2G42870.1	PAR1	Up regulated after simulated shade perception. Acts in the nucleus to control plant development and as a negative regulator of shade avoidance response. Functions as transcriptional repressor of auxin-responsive genes SAUR15 and SAUR68		Encodes PHYTOCHROME RAPIDLY REGULATED1 (PAR1), an atypical basic helix-loop-helix (bHLP) protein.  Closely related to PAR2 (At3g58850).  Up regulated after simulated shade perception.  Acts in the nucleus to control plant development and as a negative regulator of shade avoidance response.  Functions as transcriptional repressor of auxin-responsive genes SAUR15 (AT4G38850) and SAUR68 (AT1G29510).
AtbHLH166	AT3G58850.1	PAR2	Up regulated after simulated shade perception. Acts in the nucleus to control plant development and as a negative regulator of shade avoidance response. Functions as transcriptional repressor of auxin-responsive genes SAUR15 and SAUR68		Encodes PHYTOCHROME RAPIDLY REGULATED2 (PAR2), an atypical basic helix-loop-helix (bHLP) protein.  Closely related to PAR1 (At2g42870).  Up regulated after simulated shade perception.  Acts in the nucleus to control plant development and as a negative regulator of shade avoidance response.  Functions as transcriptional repressor of auxin-responsive genes SAUR15 (AT4G38850) and SAUR68 (AT1G29510).
